"city","country_id","country"
"A Corua (La Corua)",87,"Spain"
"Abha",82,"Saudi Arabia"
"Abu Dhabi",101,"United Arab Emirates"
"Acua",60,"Mexico"
"Adana",97,"Turkey"
"Addis Abeba",31,"Ethiopia"
"Aden",107,"Yemen"
"Adoni",44,"India"
"Ahmadnagar",44,"India"
"Akishima",50,"Japan"
"Akron",103,"United States"
"al-Ayn",101,"United Arab Emirates"
"al-Hawiya",82,"Saudi Arabia"
"al-Manama",11,"Bahrain"
"al-Qadarif",89,"Sudan"
"al-Qatif",82,"Saudi Arabia"
"Alessandria",49,"Italy"
"Allappuzha (Alleppey)",44,"India"
"Allende",60,"Mexico"
"Almirante Brown",6,"Argentina"
"Alvorada",15,"Brazil"
"Ambattur",44,"India"
"Amersfoort",67,"Netherlands"
"Amroha",44,"India"
"Angra dos Reis",15,"Brazil"
"Anpolis",15,"Brazil"
"Antofagasta",22,"Chile"
"Aparecida de Goinia",15,"Brazil"
"Apeldoorn",67,"Netherlands"
"Araatuba",15,"Brazil"
"Arak",46,"Iran"
"Arecibo",77,"Puerto Rico"
"Arlington",103,"United States"
"Ashdod",48,"Israel"
"Ashgabat",98,"Turkmenistan"
"Ashqelon",48,"Israel"
"Asuncin",73,"Paraguay"
"Athenai",39,"Greece"
"Atinsk",80,"Russian Federation"
"Atlixco",60,"Mexico"
"Augusta-Richmond County",103,"United States"
"Aurora",103,"United States"
"Avellaneda",6,"Argentina"
"Bag",15,"Brazil"
"Baha Blanca",6,"Argentina"
"Baicheng",23,"China"
"Baiyin",23,"China"
"Baku",10,"Azerbaijan"
"Balaiha",80,"Russian Federation"
"Balikesir",97,"Turkey"
"Balurghat",44,"India"
"Bamenda",19,"Cameroon"
"Bandar Seri Begawan",16,"Brunei"
"Banjul",37,"Gambia"
"Barcelona",104,"Venezuela"
"Basel",91,"Switzerland"
"Bat Yam",48,"Israel"
"Batman",97,"Turkey"
"Batna",2,"Algeria"
"Battambang",18,"Cambodia"
"Baybay",75,"Philippines"
"Bayugan",75,"Philippines"
"Bchar",2,"Algeria"
"Beira",63,"Mozambique"
"Bellevue",103,"United States"
"Belm",15,"Brazil"
"Benguela",4,"Angola"
"Beni-Mellal",62,"Morocco"
"Benin City",69,"Nigeria"
"Bergamo",49,"Italy"
"Berhampore (Baharampur)",44,"India"
"Bern",91,"Switzerland"
"Bhavnagar",44,"India"
"Bhilwara",44,"India"
"Bhimavaram",44,"India"
"Bhopal",44,"India"
"Bhusawal",44,"India"
"Bijapur",44,"India"
"Bilbays",29,"Egypt"
"Binzhou",23,"China"
"Birgunj",66,"Nepal"
"Bislig",75,"Philippines"
"Blumenau",15,"Brazil"
"Boa Vista",15,"Brazil"
"Boksburg",85,"South Africa"
"Botosani",78,"Romania"
"Botshabelo",85,"South Africa"
"Bradford",102,"United Kingdom"
"Braslia",15,"Brazil"
"Bratislava",84,"Slovakia"
"Brescia",49,"Italy"
"Brest",34,"France"
"Brindisi",49,"Italy"
"Brockton",103,"United States"
"Bucuresti",78,"Romania"
"Buenaventura",24,"Colombia"
"Bydgoszcz",76,"Poland"
"Cabuyao",75,"Philippines"
"Callao",74,"Peru"
"Cam Ranh",105,"Vietnam"
"Cape Coral",103,"United States"
"Caracas",104,"Venezuela"
"Carmen",60,"Mexico"
"Cavite",75,"Philippines"
"Cayenne",35,"French Guiana"
"Celaya",60,"Mexico"
"Chandrapur",44,"India"
"Changhwa",92,"Taiwan"
"Changzhou",23,"China"
"Chapra",44,"India"
"Charlotte Amalie",106,"Virgin Islands, U.S."
"Chatsworth",85,"South Africa"
"Cheju",86,"South Korea"
"Chiayi",92,"Taiwan"
"Chisinau",61,"Moldova"
"Chungho",92,"Taiwan"
"Cianjur",45,"Indonesia"
"Ciomas",45,"Indonesia"
"Ciparay",45,"Indonesia"
"Citrus Heights",103,"United States"
"Citt del Vaticano",41,"Holy See (Vatican City State)"
"Ciudad del Este",73,"Paraguay"
"Clarksville",103,"United States"
