"city_id","city","country_id","last_update","country_id-2","country","last_update-2"
1,"A Corua (La Corua)",87,"2006-02-15 09:45:25",87,"Spain","2006-02-15 09:44:00"
2,"Abha",82,"2006-02-15 09:45:25",82,"Saudi Arabia","2006-02-15 09:44:00"
3,"Abu Dhabi",101,"2006-02-15 09:45:25",101,"United Arab Emirates","2006-02-15 09:44:00"
4,"Acua",60,"2006-02-15 09:45:25",60,"Mexico","2006-02-15 09:44:00"
5,"Adana",97,"2006-02-15 09:45:25",97,"Turkey","2006-02-15 09:44:00"
6,"Addis Abeba",31,"2006-02-15 09:45:25",31,"Ethiopia","2006-02-15 09:44:00"
7,"Aden",107,"2006-02-15 09:45:25",107,"Yemen","2006-02-15 09:44:00"
8,"Adoni",44,"2006-02-15 09:45:25",44,"India","2006-02-15 09:44:00"
9,"Ahmadnagar",44,"2006-02-15 09:45:25",44,"India","2006-02-15 09:44:00"
10,"Akishima",50,"2006-02-15 09:45:25",50,"Japan","2006-02-15 09:44:00"
11,"Akron",103,"2006-02-15 09:45:25",103,"United States","2006-02-15 09:44:00"
12,"al-Ayn",101,"2006-02-15 09:45:25",101,"United Arab Emirates","2006-02-15 09:44:00"
13,"al-Hawiya",82,"2006-02-15 09:45:25",82,"Saudi Arabia","2006-02-15 09:44:00"
14,"al-Manama",11,"2006-02-15 09:45:25",11,"Bahrain","2006-02-15 09:44:00"
15,"al-Qadarif",89,"2006-02-15 09:45:25",89,"Sudan","2006-02-15 09:44:00"
16,"al-Qatif",82,"2006-02-15 09:45:25",82,"Saudi Arabia","2006-02-15 09:44:00"
17,"Alessandria",49,"2006-02-15 09:45:25",49,"Italy","2006-02-15 09:44:00"
18,"Allappuzha (Alleppey)",44,"2006-02-15 09:45:25",44,"India","2006-02-15 09:44:00"
19,"Allende",60,"2006-02-15 09:45:25",60,"Mexico","2006-02-15 09:44:00"
20,"Almirante Brown",6,"2006-02-15 09:45:25",6,"Argentina","2006-02-15 09:44:00"
21,"Alvorada",15,"2006-02-15 09:45:25",15,"Brazil","2006-02-15 09:44:00"
22,"Ambattur",44,"2006-02-15 09:45:25",44,"India","2006-02-15 09:44:00"
23,"Amersfoort",67,"2006-02-15 09:45:25",67,"Netherlands","2006-02-15 09:44:00"
24,"Amroha",44,"2006-02-15 09:45:25",44,"India","2006-02-15 09:44:00"
25,"Angra dos Reis",15,"2006-02-15 09:45:25",15,"Brazil","2006-02-15 09:44:00"
26,"Anpolis",15,"2006-02-15 09:45:25",15,"Brazil","2006-02-15 09:44:00"
27,"Antofagasta",22,"2006-02-15 09:45:25",22,"Chile","2006-02-15 09:44:00"
28,"Aparecida de Goinia",15,"2006-02-15 09:45:25",15,"Brazil","2006-02-15 09:44:00"
29,"Apeldoorn",67,"2006-02-15 09:45:25",67,"Netherlands","2006-02-15 09:44:00"
30,"Araatuba",15,"2006-02-15 09:45:25",15,"Brazil","2006-02-15 09:44:00"
31,"Arak",46,"2006-02-15 09:45:25",46,"Iran","2006-02-15 09:44:00"
32,"Arecibo",77,"2006-02-15 09:45:25",77,"Puerto Rico","2006-02-15 09:44:00"
33,"Arlington",103,"2006-02-15 09:45:25",103,"United States","2006-02-15 09:44:00"
